ID,Name,Demand,DCs,OpenCost,Normalcost,LineN,RandDemand
120,WJN,44,1,161.11,3.02,1,
122,HCBZ,58,1,113.37,2.07,1,
125,LMS,41,1,143.71,2.67,1,
126,TFGC,57,1,110.59,2.01,1,
129,STYG,43,1,114.35,2.09,1,
132,HCNZ,54,1,188.93,3.58,1,
135,FHY,55,1,155.61,2.91,1,
141,SH,55,1,189.68,3.59,1,
143,WGS,47,1,106.52,1.93,1,
154,KXC,56,1,170.97,3.22,1,
221,XP,44,1,190.32,3.61,2,
229,YPTX,58,1,134.31,2.49,2,
232,ZYDSYY,44,1,186.51,3.53,2,
236,CXL,42,1,139.05,2.58,2,
242,CDDKZ,54,1,112.79,2.06,2,
252,LQY,57,1,160.78,3.02,2,
348,SLXZ,48,1,146.4,2.73,3,
340,WQNL,51,1,100.21,1.8,3,
337,TPY,57,0,1000000,1000000,3,
335,GSQ,55,1,155.33,2.91,3,
329,SEYY,59,1,177.74,3.35,3,
325,SMQ,55,1,121.02,2.22,3,
312,CDYXY,50,1,199.25,3.78,3,
413,WS,59,1,199.08,3.78,4,
424,CDXZ,47,1,164.8,3.1,4,
426,WHG,47,1,147,2.74,4,
437,HSD,52,1,123.16,2.26,4,
442,XHZ,56,1,191.53,3.63,4,
520,HGL,52,1,123.88,2.28,5,
536,BZXEL,53,1,174.38,3.29,5,
546,SXS,55,1,159.78,3,5,
550,JCDD,47,1,168.53,3.17,5,
560,HL,55,1,170.96,3.22,5,
727,CJD,43,0,1000000,1000000,7,
726,LGDX,57,1,171.16,3.22,7,
901,JRCD,47,1,173.34,3.27,9,
907,HX,48,0,1000000,1000000,9,
913,HTB,52,0,1000000,1000000,9,
1036,XP,57,1,149.95,2.8,10,
