ID,Name,Demand,DCs,OpenCost,Normalcost,LineN
120,WJN,50,1,120.23,2.2,1
122,HCBZ,50,1,143.67,2.67,1
125,LMS,50,1,151.43,2.83,1
126,TFGC,50,1,165.89,3.12,1
129,STYG,50,1,149.4,2.79,1
132,HCNZ,50,1,163.67,3.07,1
141,SH,50,1,186.81,3.54,1
143,WGS,50,1,148.79,2.78,1
154,KXC,50,1,123.12,2.26,1
221,XP,50,1,116.7,2.13,2
229,YPTX,50,0,1000000,1000000,2
232,ZYDSYY,50,1,118.26,2.17,2
236,CXL,50,1,129.08,2.38,2
242,CDDKZ,50,1,179.89,3.4,2
252,LQY,50,1,185.43,3.51,2
348,SLXZ,50,1,140.79,2.62,3
337,TPY,50,1,162.8,3.06,3
335,GSQ,50,1,141.91,2.64,3
329,SEYY,50,1,135.89,2.52,3
325,SMQ,50,1,174.97,3.3,3
312,CDYXY,50,1,127.63,2.35,3
413,WS,50,1,117.55,2.15,4
426,WHG,50,1,141.42,2.63,4
437,HSD,50,1,103.27,1.87,4
442,XHZ,50,1,128.65,2.37,4
520,HGL,50,1,164.54,3.09,5
536,BZXEL,50,1,119.98,2.2,5
546,SXS,50,1,112.93,2.06,5
560,HL,50,1,135.17,2.5,5
727,CJD,50,1,157.57,2.95,7
726,LGDX,50,1,152.9,2.86,7
