ID,FromNodeID ,ToNodeID,FromNodeName,ToNodeName,Time,Distance,LineN,Section,Direction,Capacity
1,120,122,WJN,HCBZ,237,0.68,1,1,DOWN,240
2,122,614,HCBZ,RMBL,88,0.26,1,2,DOWN,240
3,614,125,RMBL,LMS,170,0.49,1,3,DOWN,240
4,125,126,LMS,TFGC,80,0.22,1,4,DOWN,240
5,126,129,TFGC,STYG,221,0.59,1,5,DOWN,240
6,129,815,STYG,NJQ,77,0.21,1,6,DOWN,240
7,815,132,NJQ,HCNZ,168,0.48,1,7,DOWN,240
8,132,135,HCNZ,FHY,258,0.75,1,8,DOWN,240
9,135,141,FHY,SH,550,1.46,1,9,DOWN,240
10,141,143,SH,WGS,200,0.53,1,10,DOWN,240
11,141,621,SH,XBC,835,2.26,1,11,DOWN,240
12,621,154,XBC,KXC,312,0.83,1,12,DOWN,240
13,122,120,HCBZ,WJN,237,0.68,1,1,UP,240
14,614,122,RMBL,HCBZ,88,0.26,1,2,UP,240
15,125,614,LMS,RMBL,170,0.49,1,3,UP,240
16,126,125,TFGC,LMS,80,0.22,1,4,UP,240
17,129,126,STYG,TFGC,221,0.59,1,5,UP,240
18,815,129,NJQ,STYG,77,0.21,1,6,UP,240
19,132,815,HCNZ,NJQ,168,0.48,1,7,UP,240
20,135,132,FHY,HCNZ,258,0.75,1,8,UP,240
21,141,135,SH,FHY,550,1.46,1,9,UP,240
22,143,141,WGS,SH,200,0.53,1,10,UP,240
23,621,141,XBC,SH,835,2.26,1,11,UP,240
24,154,621,KXC,XBC,312,0.83,1,12,UP,240
25,221,229,XP,YPTX,825,2.48,2,13,UP,240
26,229,232,YPTX,ZYDSYY,293,0.81,2,14,UP,240
27,232,126,ZYDSYY,TFGC,240,0.6,2,15,UP,240
28,126,236,TFGC,CXL,109,0.31,2,16,UP,240
29,236,617,CXL,NWM,193,0.37,2,17,UP,240
30,617,813,NWM,DDL,172,0.61,2,18,UP,240
31,813,242,DDL,CDDKZ,200,0.49,2,19,UP,240
32,242,252,CDDKZ,LQY,1119,3.51,2,20,UP,240
33,229,221,YPTX,XP,825,2.48,2,13,DOWN,240
34,232,229,ZYDSYY,YPTX,293,0.81,2,14,DOWN,240
35,126,232,TFGC,ZYDSYY,240,0.6,2,15,DOWN,240
36,236,126,CXL,TFGC,109,0.31,2,16,DOWN,240
37,617,236,NWM,CXL,193,0.37,2,17,DOWN,240
38,813,617,DDL,NWM,172,0.61,2,18,DOWN,240
39,242,813,CDDKZ,DDL,200,0.49,2,19,DOWN,240
40,252,242,LQY,CDDKZ,1119,3.51,2,20,DOWN,240
41,348,340,SLXZ,WQNL,885,2.94,3,21,UP,240
42,340,337,WQNL,TPY,293,0.93,3,22,UP,240
43,337,335,TPY,GSQ,200,0.63,3,23,UP,240
44,335,129,GSQ,STYG,173,0.54,3,24,UP,240
45,129,236,STYG,CXL,245,0.71,3,25,UP,240
46,236,329,CXL,EYY,73,0.19,3,26,UP,240
47,329,615,EYY,QFL,168,0.49,3,27,UP,240
48,615,325,QFL,SMQ,154,0.43,3,28,UP,240
49,325,312,SMQ,CDYXY,1244,4.05,3,29,UP,240
50,340,348,WQNL,SLXZ,885,2.94,3,21,DOWN,240
51,337,340,TPY,WQNL,293,0.93,3,22,DOWN,240
52,335,337,GSQ,TPY,200,0.63,3,23,DOWN,240
53,129,335,STYG,GSQ,173,0.54,3,24,DOWN,240
54,236,129,CXL,STYG,245,0.71,3,25,DOWN,240
55,329,236,EYY,CXL,73,0.19,3,26,DOWN,240
56,615,329,QFL,EYY,168,0.49,3,27,DOWN,240
57,325,615,SMQ,QFL,154,0.43,3,28,DOWN,240
58,312,325,CDYXY,SMQ,1244,4.05,3,29,DOWN,240
59,413,424,WS,CDXZ,1165,3.8,4,30,UP,240
60,424,426,CDXZ,WHG,230,0.78,4,31,UP,240
61,426,232,WHG,ZYD,236,0.67,4,32,UP,240
62,232,125,ZYD,LMS,182,0.56,4,33,UP,240
63,125,329,LMS,SEYY,156,0.43,4,34,UP,240
