ID,Name,Demand,DCs,OpenCost,Normalcost,LineN,RandDemand
120,WJN,50,1,130.54,2.41,1,
122,HCBZ,50,1,180.93,3.42,1,
125,LMS,50,1,128.45,2.37,1,
126,TFGC,50,1,133.41,2.47,1,
129,STYG,50,1,143.79,2.68,1,
132,HCNZ,50,1,155.51,2.91,1,
135,FHY,50,1,143.38,2.67,1,
141,SH,50,1,192.23,3.64,1,
143,WGS,50,1,102.76,1.86,1,
154,KXC,50,1,176.44,3.33,1,
221,XP,50,1,181.3,3.43,2,
229,YPTX,50,0,1000000,1000000,2,
232,ZYDSYY,50,1,121.12,2.22,2,
236,CXL,50,1,162.98,3.06,2,
242,CDDKZ,50,1,171.14,3.22,2,
252,LQY,50,1,136.12,2.52,2,
348,SLXZ,50,1,169.68,3.19,3,
340,WQNL,50,1,172.8,3.26,3,
337,TPY,50,1,189.77,3.6,3,
335,GSQ,50,1,146.92,2.74,3,
329,SEYY,50,1,187.88,3.56,3,
325,SMQ,50,1,163.35,3.07,3,
312,CDYXY,50,1,133.17,2.46,3,
413,WS,50,1,180.31,3.41,4,
424,CDXZ,50,1,136.73,2.53,4,
426,WHG,50,1,124.87,2.3,4,
437,HSD,50,0,1000000,1000000,4,
442,XHZ,50,1,182.46,3.45,4,
520,HGL,50,1,125.77,2.32,5,
536,BZXEL,50,1,179.28,3.39,5,
546,SXS,50,1,156.07,2.92,5,
550,JCDD,50,1,121.93,2.24,5,
560,HL,50,1,170.2,3.2,5,
610,WCC,50,1,198.83,3.78,6,
612,XNJD,50,1,149.27,2.79,6,
613,XBQ,50,0,1000000,1000000,6,
614,RMBL,50,1,105.62,1.91,6,
615,QFL,50,1,111.17,2.02,6,
616,YSL,50,1,177.17,3.34,6,
617,NWM,50,1,192.33,3.65,6,
618,DG,50,1,184.8,3.5,6,
619,LLC,50,1,111.86,2.04,6,
621,XBC,50,0,1000000,1000000,6,
623,LJG,50,0,1000000,1000000,6,
727,CJD,50,1,127.06,2.34,7,
726,LGDX,50,1,103.23,1.86,7,
810,SLD,50,1,199.97,3.8,8,
812,SQL,50,0,1000000,1000000,8,
813,DDL,50,0,1000000,1000000,8,
815,NJQ,50,1,152.32,2.85,8,
816,JXDD,50,0,1000000,1000000,8,
817,GPDD,50,1,140.66,2.61,8,
818,SY,50,1,160.57,3.01,8,
819,LH,50,1,107.03,1.94,8,
901,JRCD,50,1,198.43,3.77,9,
907,HX,50,1,155.19,2.9,9,
913,HTB,50,1,167.31,3.15,9,
1036,XP,50,1,138.62,2.57,10,
